,date,station_id,users_count
0,2022-01-01,2782.02,2
1,2022-01-01,2832.03,3
2,2022-01-01,2912.08,1
3,2022-01-01,2932.01,2
4,2022-01-01,2961.05,1
5,2022-01-01,3000.08,2
6,2022-01-01,3011.03,4
7,2022-01-01,3019.02,1
8,2022-01-01,3056.05,1
9,2022-01-01,3093.07,1
10,2022-01-01,3117.05,1
11,2022-01-01,3125.09,7
12,2022-01-01,3129.08,1
13,2022-01-01,3161.02,1
14,2022-01-01,3166.03,4
15,2022-01-01,3169.07,5
16,2022-01-01,3192.05,3
17,2022-01-01,3199.01,4
18,2022-01-01,3208.07,1
19,2022-01-01,3211.06,2
20,2022-01-01,3220.01,1
21,2022-01-01,3230.01,4
22,2022-01-01,3233.06,2
23,2022-01-01,3240.15,6
24,2022-01-01,3266.01,1
25,2022-01-01,3272.01,5
26,2022-01-01,3280.04,4
27,2022-01-01,3303.01,7
28,2022-01-01,3306.03,6
29,2022-01-01,3312.07,1
30,2022-01-01,3315.05,1
31,2022-01-01,3344.02,9
32,2022-01-01,3347.03,2
33,2022-01-01,3353.04,5
34,2022-01-01,3376.02,31
35,2022-01-01,3379.03,3
36,2022-01-01,3385.06,8
37,2022-01-01,3420.01,5
38,2022-01-01,3426.02,1
39,2022-01-01,3451.01,2
40,2022-01-01,3457.03,4
41,2022-01-01,3460.01,1
42,2022-01-01,3460.02,4
43,2022-01-01,3492.04,1
44,2022-01-01,3498.09,7
45,2022-01-01,3501.01,1
46,2022-01-01,3507.04,6
47,2022-01-01,3515.01,1
48,2022-01-01,3523.06,3
49,2022-01-01,3538.09,3
50,2022-01-01,3547.04,1
51,2022-01-01,3555.04,8
52,2022-01-01,3579.04,10
53,2022-01-01,3588.01,5
54,2022-01-01,3596.04,6
55,2022-01-01,3611.02,18
56,2022-01-01,3620.02,4
57,2022-01-01,3628.11,7
58,2022-01-01,3651.04,37
59,2022-01-01,3665.06,7
60,2022-01-01,3668.04,8
61,2022-01-01,3696.05,9
62,2022-01-01,3699.07,9
63,2022-01-01,3704.04,15
