,date,station_id,users_count
0,2021-12-01,2782.02,1
1,2021-12-01,2832.03,5
2,2021-12-01,2872.02,1
3,2021-12-01,2883.03,1
4,2021-12-01,2912.08,3
5,2021-12-01,2923.01,1
6,2021-12-01,2932.01,5
7,2021-12-01,2951.05,3
8,2021-12-01,2961.05,2
9,2021-12-01,3000.08,1
10,2021-12-01,3007.05,9
11,2021-12-01,3011.03,9
12,2021-12-01,3019.02,1
13,2021-12-01,3046.03,3
14,2021-12-01,3050.03,5
15,2021-12-01,3056.05,5
16,2021-12-01,3084.05,2
17,2021-12-01,3090.06,3
18,2021-12-01,3093.07,5
19,2021-12-01,3117.05,6
20,2021-12-01,3125.09,8
21,2021-12-01,3129.08,5
22,2021-12-01,3135.04,2
23,2021-12-01,3138.09,2
24,2021-12-01,3161.02,2
25,2021-12-01,3166.03,9
26,2021-12-01,3169.07,12
27,2021-12-01,3178.02,2
28,2021-12-01,3192.05,15
29,2021-12-01,3199.01,8
30,2021-12-01,3202.06,4
31,2021-12-01,3208.07,9
32,2021-12-01,3211.06,3
33,2021-12-01,3220.01,1
34,2021-12-01,3230.01,5
35,2021-12-01,3233.06,2
36,2021-12-01,3240.15,13
37,2021-12-01,3243.02,3
38,2021-12-01,3253.01,1
39,2021-12-01,3266.01,6
40,2021-12-01,3272.01,9
41,2021-12-01,3275.03,8
42,2021-12-01,3280.04,6
43,2021-12-01,3303.01,12
44,2021-12-01,3306.03,6
45,2021-12-01,3315.05,4
46,2021-12-01,3344.02,30
47,2021-12-01,3347.03,8
48,2021-12-01,3353.04,5
49,2021-12-01,3356.05,2
50,2021-12-01,3376.02,27
51,2021-12-01,3379.03,5
52,2021-12-01,3385.06,17
53,2021-12-01,3394.03,6
54,2021-12-01,3420.01,12
55,2021-12-01,3426.02,5
56,2021-12-01,3428.02,2
57,2021-12-01,3451.01,3
58,2021-12-01,3457.03,8
59,2021-12-01,3460.01,2
60,2021-12-01,3460.02,13
61,2021-12-01,3460.04,1
62,2021-12-01,3498.09,5
63,2021-12-01,3501.01,2
64,2021-12-01,3507.04,18
65,2021-12-01,3515.01,1
66,2021-12-01,3523.06,4
67,2021-12-01,3538.09,17
68,2021-12-01,3547.04,4
69,2021-12-01,3555.04,2
70,2021-12-01,3564.04,8
71,2021-12-01,3579.04,15
72,2021-12-01,3588.01,18
73,2021-12-01,3596.04,13
74,2021-12-01,3611.02,31
75,2021-12-01,3620.02,25
76,2021-12-01,3628.11,26
77,2021-12-01,3651.04,15
78,2021-12-01,3665.06,24
79,2021-12-01,3668.04,15
80,2021-12-01,3696.05,18
81,2021-12-01,3699.07,22
82,2021-12-01,3704.04,30
83,2021-12-01,3704.08,12
