date,station_id,users_count
2022-02-01,2951.05,1
2022-02-01,3169.07,2
2022-02-01,3192.05,2
2022-02-01,3199.01,6
2022-02-01,3208.07,3
2022-02-01,3230.01,1
2022-02-01,3240.15,2
2022-02-01,3303.01,2
2022-02-01,3344.02,9
2022-02-01,3376.02,8
2022-02-01,3385.06,4
2022-02-01,3420.01,5
2022-02-01,3457.03,5
2022-02-01,3460.02,4
2022-02-01,3498.09,5
2022-02-01,3507.04,5
2022-02-01,3538.09,7
2022-02-01,3555.04,3
2022-02-01,3579.04,4
2022-02-01,3588.01,4
2022-02-01,3611.02,7
2022-02-01,3620.02,9
2022-02-01,3628.11,5
2022-02-01,3651.04,20
2022-02-01,3665.06,4
2022-02-01,3668.04,5
2022-02-01,3696.05,4
2022-02-01,3699.07,5
2022-02-01,3704.04,25
2022-02-01,3704.08,3
2022-02-01,3722.04,17
2022-02-01,3731.11,10
2022-02-01,3736.03,8
2022-02-01,3736.04,1
2022-02-01,3739.06,4
2022-02-01,3762.08,9
2022-02-01,3771.06,5
2022-02-01,3803.05,3
2022-02-01,3803.09,17
2022-02-01,3811.05,5
2022-02-01,3834.1,11
2022-02-01,3842.08,5
2022-02-01,3847.04,5
2022-02-01,3850.03,6
2022-02-01,3865.05,17
2022-02-01,3874.01,9
2022-02-01,3879.04,11
2022-02-01,3882.01,5
2022-02-01,3887.03,4
2022-02-01,3905.15,17
2022-02-01,3914.02,7
2022-02-01,3919.07,8
2022-02-01,3922.02,9
2022-02-01,3928.08,6
2022-02-01,3946.07,8
2022-02-01,3955.05,7
2022-02-01,3960.01,12
2022-02-01,3978.13,15
2022-02-01,3987.06,20
2022-02-01,3993.03,11
2022-02-01,3996.01,14
2022-02-01,4001.09,11
2022-02-01,4010.01,14
2022-02-01,4010.13,14
2022-02-01,4010.15,5
2022-02-01,4019.06,8
2022-02-01,4028.04,10
2022-02-01,4033.06,10
2022-02-01,4042.08,22
2022-02-01,4051.01,22
2022-02-01,4060.09,9
2022-02-01,4066.15,15
2022-02-01,4074.03,23
2022-02-01,4077.04,17
2022-02-01,4077.07,10
2022-02-01,4095.03,9
2022-02-01,4095.1,7
2022-02-01,4101.17,7
2022-02-01,4107.05,10
2022-02-01,4107.13,18
2022-02-01,4110.1,7
2022-02-01,4116.08,14
2022-02-01,4119.04,12
2022-02-01,4124.04,12
2022-02-01,4125.07,24
2022-02-01,4134.06,11
2022-02-01,4137.1,2
2022-02-01,4143.03,10
2022-02-01,4143.04,8
2022-02-01,4148.07,8
2022-02-01,4151.01,5
2022-02-01,4157.1,11
2022-02-01,4157.15,21
2022-02-01,4166.08,7
2022-02-01,4175.14,13
2022-02-01,4175.15,6
2022-02-01,4184.07,6
2022-02-01,4190.06,10
2022-02-01,4193.14,11
2022-02-01,4199.12,21
2022-02-01,4205.06,16
2022-02-01,4214.03,17
2022-02-01,4217.02,21
2022-02-01,4222.02,21
2022-02-01,4225.14,15
2022-02-01,4228.02,12
2022-02-01,4231.04,12
2022-02-01,4237.01,6
2022-02-01,4237.02,1
2022-02-01,4243.01,6
2022-02-01,4249.1,9
2022-02-01,4255.05,7
2022-02-01,4258.07,8
2022-02-01,4263.12,11
2022-02-01,4266.03,14
2022-02-01,4278.03,8
2022-02-01,4281.08,11
2022-02-01,4290.08,3
2022-02-01,4298.05,10
2022-02-01,4307.13,11
2022-02-01,4319.07,12
2022-02-01,4322.06,17
2022-02-01,4327.09,4
2022-02-01,4336.01,11
2022-02-01,4339.01,7
2022-02-01,4345.11,18
2022-02-01,4348.07,7
2022-02-01,4354.05,13
2022-02-01,4354.07,21
2022-02-01,4362.04,8
2022-02-01,4368.05,12
2022-02-01,4371.01,9
2022-02-01,4377.04,7
2022-02-01,4380.08,15
2022-02-01,4386.05,9
2022-02-01,4392.04,7
2022-02-01,4395.07,42
2022-02-01,4404.1,9
2022-02-01,4413.08,10
2022-02-01,4419.03,9
2022-02-01,4422.04,7
2022-02-01,4422.05,3
2022-02-01,4425.02,19
2022-02-01,4428.02,13
2022-02-01,4434.06,11
2022-02-01,4437.01,16
2022-02-01,4437.09,13
2022-02-01,4446.01,21
2022-02-01,4446.05,10
2022-02-01,4452.01,15
2022-02-01,4452.03,5
2022-02-01,4455.1,16
2022-02-01,4455.11,15
2022-02-01,4461.01,19
2022-02-01,4461.04,22
2022-02-01,4470.09,20
2022-02-01,4476.03,5
2022-02-01,4479.06,9
2022-02-01,4479.08,26
2022-02-01,4483.1,2
2022-02-01,4488.08,30
2022-02-01,4488.09,17
2022-02-01,4494.04,14
2022-02-01,4497.09,3
2022-02-01,4507.07,3
2022-02-01,4510.04,12
2022-02-01,4513.06,31
2022-02-01,4513.09,8
2022-02-01,4517.03,2
2022-02-01,4519.02,10
2022-02-01,4519.04,7
2022-02-01,4522.07,8
2022-02-01,4526.01,11
2022-02-01,4528.01,7
2022-02-01,4531.05,13
2022-02-01,4546.04,14
2022-02-01,4546.05,9
2022-02-01,4553.04,6
2022-02-01,4560.01,3
2022-02-01,4565.04,10
2022-02-01,4568.01,2
2022-02-01,4587.02,5
2022-02-01,4596.05,16
2022-02-01,4596.09,35
2022-02-01,4600.09,7
2022-02-01,4605.04,31
2022-02-01,4608.01,7
2022-02-01,4611.03,29
2022-02-01,4614.04,8
2022-02-01,4617.01,10
2022-02-01,4620.02,21
2022-02-01,4623.02,5
2022-02-01,4628.05,24
2022-02-01,4628.07,8
2022-02-01,4632.1,7
2022-02-01,4634.02,10
2022-02-01,4637.06,29
2022-02-01,4640.01,8
2022-02-01,4645.04,7
2022-02-01,4645.09,16
2022-02-01,4651.02,34
2022-02-01,4654.01,2
2022-02-01,4656.03,3
2022-02-01,4659.02,9
2022-02-01,4663.06,2
2022-02-01,4665.02,7
2022-02-01,4668.08,12
2022-02-01,4677.01,9
2022-02-01,4677.06,31
2022-02-01,4683.02,30
2022-02-01,4689.03,10
2022-02-01,4692.01,14
2022-02-01,4695.04,2
2022-02-01,4700.06,4
2022-02-01,4707.03,13
2022-02-01,4707.04,5
2022-02-01,4710.06,12
2022-02-01,4713.01,2
2022-02-01,4715.01,4
2022-02-01,4718.08,12
2022-02-01,4721.01,3
2022-02-01,4724.03,23
2022-02-01,4729.01,3
2022-02-01,4732.04,10
2022-02-01,4732.08,18
2022-02-01,4748.07,11
2022-02-01,4751.01,8
2022-02-01,4756.04,2
2022-02-01,4759.02,6
2022-02-01,4762.04,24
2022-02-01,4762.05,23
2022-02-01,4768.02,9
2022-02-01,4781.03,6
2022-02-01,4781.05,7
2022-02-01,4784.02,2
2022-02-01,4789.03,34
2022-02-01,4792.03,15
2022-02-01,4801.04,12
2022-02-01,4804.02,20
2022-02-01,4807.02,3
2022-02-01,4812.02,10
2022-02-01,4812.04,19
2022-02-01,4818.03,10
2022-02-01,4821.03,15
2022-02-01,4821.06,11
2022-02-01,4824.03,5
2022-02-01,4829.01,6
2022-02-01,4832.07,5
2022-02-01,4840.06,9
2022-02-01,4846.01,14
2022-02-01,4847.03,17
2022-02-01,4850.04,7
2022-02-01,4856.05,2
2022-02-01,4861.05,4
2022-02-01,4864.09,4
2022-02-01,4873.08,5
2022-02-01,4883.03,23
2022-02-01,4889.06,6
2022-02-01,4895.03,27
2022-02-01,4895.09,29
2022-02-01,4898.02,2
2022-02-01,4903.08,9
2022-02-01,4903.09,9
2022-02-01,4906.07,3
2022-02-01,4914.03,9
2022-02-01,4927.04,14
2022-02-01,4931.05,15
2022-02-01,4936.01,31
2022-02-01,4936.14,6
2022-02-01,4939.07,7
2022-02-01,4947.04,3
2022-02-01,4953.04,17
2022-02-01,4954.07,1
2022-02-01,4956.02,6
2022-02-01,4962.01,21
2022-02-01,4962.08,13
2022-02-01,4963.13,4
2022-02-01,4965.01,4
2022-02-01,4968.03,10
2022-02-01,4971.01,3
2022-02-01,4979.07,4
2022-02-01,4987.06,6
2022-02-01,4993.02,14
2022-02-01,4993.13,9
2022-02-01,4993.15,9
2022-02-01,4996.08,6
2022-02-01,5001.08,31
2022-02-01,5002.09,4
2022-02-01,5004.02,9
2022-02-01,5018.06,3
2022-02-01,5025.02,2
2022-02-01,5033.01,12
2022-02-01,5034.03,4
2022-02-01,5036.06,13
2022-02-01,5045.05,5
2022-02-01,5051.01,5
2022-02-01,5051.02,6
2022-02-01,5059.02,9
2022-02-01,5062.01,15
2022-02-01,5065.04,17
2022-02-01,5065.1,10
2022-02-01,5065.12,26
2022-02-01,5065.14,15
2022-02-01,5068.02,10
2022-02-01,5074.08,5
2022-02-01,5084.03,10
2022-02-01,5093.01,5
2022-02-01,5096.11,13
2022-02-01,5099.02,10
2022-02-01,5105.09,12
2022-02-01,5108.01,15
2022-02-01,5114.06,35
2022-02-01,5115.05,3
2022-02-01,5117.05,21
2022-02-01,5125.03,44
2022-02-01,5125.07,15
2022-02-01,5128.04,20
2022-02-01,5137.1,16
2022-02-01,5137.11,27
2022-02-01,5137.13,9
2022-02-01,5145.02,17
2022-02-01,5146.03,8
2022-02-01,5148.03,19
2022-02-01,5156.05,26
2022-02-01,5159.07,10
2022-02-01,5164.04,40
2022-02-01,5170.01,2
2022-02-01,5175.08,43
2022-02-01,5178.06,24
2022-02-01,5181.04,13
2022-02-01,5184.08,49
2022-02-01,5187.03,22
2022-02-01,5190.07,15
2022-02-01,5190.09,31
2022-02-01,5198.04,12
2022-02-01,5204.05,39
2022-02-01,5207.01,45
2022-02-01,5210.01,3
2022-02-01,5216.04,25
2022-02-01,5216.06,33
2022-02-01,5238.05,30
2022-02-01,5247.1,23
2022-02-01,5250.05,11
2022-02-01,5259.06,14
2022-02-01,5262.09,17
2022-02-01,5267.08,27
2022-02-01,5267.09,14
2022-02-01,5270.05,29
2022-02-01,5270.07,26
2022-02-01,5270.08,33
2022-02-01,5270.09,28
2022-02-01,5279.03,20
2022-02-01,5282.02,5
2022-02-01,5288.08,7
2022-02-01,5288.09,14
2022-02-01,5288.12,46
2022-02-01,5294.04,61
2022-02-01,5297.02,43
2022-02-01,5300.05,13
2022-02-01,5300.06,14
2022-02-01,5303.06,98
2022-02-01,5308.04,55
2022-02-01,5326.06,9
2022-02-01,5329.03,70
2022-02-01,5329.06,41
2022-02-01,5332.1,2
2022-02-01,5335.03,18
2022-02-01,5335.07,32
2022-02-01,5348.02,49
2022-02-01,5351.03,40
2022-02-01,5354.01,5
2022-02-01,5359.1,16
2022-02-01,5359.11,30
2022-02-01,5359.12,10
2022-02-01,5362.08,5
2022-02-01,5365.02,29
2022-02-01,5371.07,2
2022-02-01,5374.01,93
2022-02-01,5379.09,30
2022-02-01,5379.1,41
2022-02-01,5382.06,59
2022-02-01,5382.07,71
2022-02-01,5391.06,38
2022-02-01,5400.05,17
2022-02-01,5403.04,15
2022-02-01,5403.05,14
2022-02-01,5406.02,44
2022-02-01,5406.04,16
2022-02-01,5411.07,8
2022-02-01,5411.08,34
2022-02-01,5414.06,62
2022-02-01,5414.07,18
2022-02-01,5422.04,57
2022-02-01,5430.08,17
2022-02-01,5430.1,1
2022-02-01,5433.03,8
2022-02-01,5436.09,45
2022-02-01,5436.11,15
2022-02-01,5442.05,16
2022-02-01,5445.02,47
2022-02-01,5445.07,37
2022-02-01,5450.04,20
2022-02-01,5453.01,23
2022-02-01,5453.05,35
2022-02-01,5470.1,30
2022-02-01,5470.12,38
2022-02-01,5470.13,12
2022-02-01,5473.03,6
2022-02-01,5476.03,82
2022-02-01,5481.04,13
2022-02-01,5484.09,62
2022-02-01,5489.03,36
2022-02-01,5489.04,3
2022-02-01,5492.05,94
2022-02-01,5500.02,27
2022-02-01,5500.07,15
2022-02-01,5503.01,7
2022-02-01,5506.1,30
2022-02-01,5506.14,38
2022-02-01,5509.02,4
2022-02-01,5515.02,51
2022-02-01,5515.08,23
2022-02-01,5523.02,41
2022-02-01,5532.01,20
2022-02-01,5539.06,8
2022-02-01,5542.04,5
2022-02-01,5545.01,44
2022-02-01,5545.04,34
2022-02-01,5550.05,21
2022-02-01,5550.09,15
2022-02-01,5553.03,25
2022-02-01,5553.1,64
2022-02-01,5561.04,32
2022-02-01,5561.06,35
2022-02-01,5569.06,26
2022-02-01,5569.07,12
2022-02-01,5575.08,17
2022-02-01,5575.13,11
2022-02-01,5578.02,18
2022-02-01,5581.01,23
2022-02-01,5584.05,26
2022-02-01,5593.01,65
2022-02-01,5593.04,38
2022-02-01,5602.06,15
2022-02-01,5610.09,53
2022-02-01,5613.04,23
2022-02-01,5616.01,39
2022-02-01,5616.08,20
2022-02-01,5623.03,10
2022-02-01,5626.06,17
2022-02-01,5626.07,79
2022-02-01,5626.13,43
2022-02-01,5626.15,24
2022-02-01,5633.04,12
2022-02-01,5636.11,62
2022-02-01,5644.05,18
2022-02-01,5653.12,41
2022-02-01,5659.05,52
2022-02-01,5659.11,44
2022-02-01,5666.04,25
2022-02-01,5669.1,49
2022-02-01,5669.12,29
2022-02-01,5679.05,49
2022-02-01,5679.08,46
2022-02-01,5687.04,21
2022-02-01,5687.11,22
2022-02-01,5696.03,45
2022-02-01,5712.03,47
