,date,RRP,frac_at_neg_RRP,demand,RRP_positive,demand_neg_RRP,RRP_negative,demand_pos_RRP
0,2015-01-01,25.63369643387471,0.020833334,99635.03,26.41595261944092,2315.79,-7.239999999999997,97319.24000000002
1,2015-01-02,33.13898756122499,0.0625,129606.00999999994,38.83766097797432,8523.994999999999,-47.80977650151132,121082.01499999994
2,2015-01-03,34.56485482908218,0.0,142300.53999999998,34.56485482908218,0.0,0.0,142300.53999999998
3,2015-01-04,25.00556023842067,0.0,104330.715,25.00556023842067,0.0,0.0,104330.715
4,2015-01-05,26.72417627793271,0.0,118132.19999999994,26.72417627793271,0.0,0.0,118132.19999999994
5,2015-01-06,31.282310728612853,0.0,130672.48499999994,31.282310728612853,0.0,0.0,130672.48499999994
6,2015-01-07,48.31230937899024,0.020833334,153514.82,49.6397122450183,4016.105,-1.1,149498.715
7,2015-01-08,49.11728029878114,0.0,142015.65500000006,49.11728029878114,0.0,0.0,142015.65500000006
8,2015-01-09,34.490675454596484,0.0,121801.15499999998,34.490675454596484,0.0,0.0,121801.15499999998
9,2015-01-10,20.229824895097856,0.0,103043.66000000005,20.229824895097856,0.0,0.0,103043.66000000005
10,2015-01-11,18.23476806038267,0.0,99865.755,18.23476806038267,0.0,0.0,99865.755
11,2015-01-12,33.69481017437569,0.0,131261.12500000006,33.69481017437569,0.0,0.0,131261.12500000006
12,2015-01-13,27.537864268645148,0.0,126527.35999999994,27.537864268645148,0.0,0.0,126527.35999999994
13,2015-01-14,29.018516605170355,0.0,119741.62,29.018516605170355,0.0,0.0,119741.62
14,2015-01-15,30.936538792523216,0.0,118411.21999999994,30.936538792523216,0.0,0.0,118411.21999999994
15,2015-01-16,23.01519087693016,0.0,116690.76499999994,23.01519087693016,0.0,0.0,116690.76499999994
16,2015-01-17,18.99492729239456,0.0,99371.31,18.99492729239456,0.0,0.0,99371.31
17,2015-01-18,17.008680881521563,0.020833334,97728.75,20.9117904111346,2254.785,-148.26,95473.965
18,2015-01-19,26.927876193873967,0.0,116883.14999999998,26.927876193873967,0.0,0.0,116883.14999999998
19,2015-01-20,23.07807413769876,0.0,128968.125,23.07807413769876,0.0,0.0,128968.125
20,2015-01-21,34.44341545994803,0.0,148702.505,34.44341545994803,0.0,0.0,148702.505
21,2015-01-22,35.230761404105266,0.0,153232.1,35.230761404105266,0.0,0.0,153232.1
22,2015-01-23,40.60420021586557,0.0,138095.19999999998,40.60420021586557,0.0,0.0,138095.19999999998
23,2015-01-24,20.922000145472573,0.0,116310.58999999998,20.922000145472573,0.0,0.0,116310.58999999998
24,2015-01-25,16.541417703813387,0.0,97959.46000000004,16.541417703813387,0.0,0.0,97959.46000000004
25,2015-01-26,16.936012803090073,0.0,103769.48000000004,16.936012803090073,0.0,0.0,103769.48000000004
26,2015-01-27,21.20628859561405,0.0,118393.31,21.20628859561405,0.0,0.0,118393.31
