date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix,mean_7_days,mean_14_days,mean_56_days,signal,std_7_days,exp_mean_7_days,exp_std_7_days,momentum_7_days,rate_of_change_7_days,strength_index_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,momentum_14_days,rate_of_change_14_days,strength_index_14_days,std_56_days,exp_mean_56_days,exp_std_56_days,momentum_56_days,rate_of_change_56_days,strength_index_56_days,compound,subjectivity,polarity,close_nextday
2021-02-05 00:00:00,37251.07,38310.12,37200.0,38290.24,40796.279765,1544400821.2317476,1174800,19644.346339,743829249.1732455,1612512000000,36463.81878401361,34892.519472789114,25454.36990327381,0.6488095238095238,65.29010577670162,37801.64711344106,79.65302955665534,20.987559523809548,0.04893676721337029,51.46681452888038,81.42485101375625,37792.767505960925,104.33410644803514,39.861369047619085,0.1018623328614151,48.86743376193682,115.90691272268681,37773.07970590765,173.9075011261149,-1.6991071428569577,0.00982908745383297,35.43943382700404,16.38605,33.07024611565683,10.990739877516663,39186.94
2021-02-06 00:00:00,38289.32,40955.51,38215.94,39186.94,98757.311183,3922095148.92815,2291646,52015.513362,2065180747.347224,1612562400000,39763.64297619048,39746.29931795635,39587.71407924107,0.7256944444444445,104.73691159816849,39762.804123182475,129.8861420907605,30.545625000000026,0.06890858222347661,53.24033865352646,145.47485503416394,39742.325806532725,174.1947232061775,73.81499999999998,0.17443386818663073,53.9807903839777,266.222389676992,39581.03693242823,360.6867012801525,419.1984375,1.073169071780417,55.52360735359007,19.33791666666667,39.39672598813224,14.872548307209767,38795.69
2021-02-07 00:00:00,39181.01,39700.0,37351.0,38795.69,84363.679763,3256521384.240611,1976357,40764.388959,1574482907.5639024,1612648800000,38670.440624999996,38675.4368328373,38780.11184709821,0.3958333333333333,117.50182293586437,38671.03776564805,144.25142702699657,-7.770277777777788,-0.014579938730465335,50.75830692357338,159.46432864834608,38680.49095728012,198.2154846385506,-26.907638888888897,-0.052301534596777915,49.371147189132785,323.60453298195745,38791.906579666465,401.5017669115834,-280.3938888888889,-0.6737140135852449,47.025152621006846,18.655754166666668,43.99165171749547,18.617580715773425,46374.87
2021-02-08 00:00:00,38795.69,46794.45,37988.89,46374.87,138589.688723,5881195671.189067,3230728,72343.103838,3069192577.349549,1612735200000,41065.41825396825,40981.39780009921,40544.37104476686,0.6979166666666666,168.8451416104045,41066.62648527466,219.33197358961468,176.43982638888886,0.36613660822222066,55.84809910457252,238.1683471188717,40985.61541287535,328.62566737716344,329.27079861111116,0.7562488784644786,56.55999630708087,569.586866406497,40566.513969585474,756.4994463047797,1131.3917013888888,2.8147654332212064,57.07811840983953,37.119012500000004,63.70426320862779,23.015733683369103,46420.42
2021-02-09 00:00:00,46374.86,48142.19,44961.09,46420.42,115499.861712,5386255398.017187,3119034,57429.564347,2679451036.4918036,1612821600000,46623.54242559523,46616.25753224207,46445.42241815477,0.6701388888888888,189.54715016251865,46622.29213067031,231.00194174382239,7.19170138888886,0.017401836906053684,51.01534036839224,257.49313526690065,46608.861214819364,313.9542236600781,40.14232638888885,0.08039025332188963,51.461591842975785,500.6635480801422,46419.0756144624,653.955489971722,502.6619791666665,1.119266783166264,53.25220579636173,28.97462916666667,49.48120122142518,18.047543720939554,44807.58
2021-02-10 00:00:00,46420.42,47310.0,43727.0,44807.58,97154.1822,4431650130.251105,2891592,47971.985731,2190231238.817587,1612908000000,45758.32136904762,45774.82797619048,45915.57605282738,0.4479166666666667,136.9002692124783,45757.97259110526,167.4350753326141,-35.29684027777775,-0.06416429396598226,49.53633433849692,185.60139665496897,45776.48225443647,220.77788528663356,-69.93878472222217,-0.1355292930211668,48.67690892102535,330.1370979262593,45913.19915675889,395.8516507393179,-382.5911805555554,-0.7997910405688763,47.67709032329211,25.452770833333332,39.1171325061898,13.832576349769058,47969.51
2021-02-11 00:00:00,44807.58,48678.9,43994.02,47969.51,89561.081454,4185630934.4108953,2570949,46138.33674,2158335922.692323,1612994400000,46241.73811076605,46207.59739906833,46021.584877286055,0.6485507246376812,144.41483174832138,46242.306705564035,185.26192933548546,70.70021739130434,0.13554718340213878,56.23707086055687,206.62542171848094,46209.281332484396,258.8462313453973,137.64448067632847,0.2841768517490881,55.23965567877608,396.4267374423368,46017.45795031321,509.41977715932916,528.7911714975844,1.1452893930457066,54.19378484899458,0.0,0.0,0.0,47287.6
2021-02-12 00:00:00,47968.66,48985.8,46125.0,47287.6,85870.035697,4080571908.9676614,2418841,41841.039135,1990472918.9285848,1613080800000,47546.674781746035,47550.28818948413,47531.766255580354,0.5555555555555555,126.05098267512243,47546.069047849036,154.78620176966,-10.575729166666685,-0.018946815709066367,50.47530533756757,173.43397553445936,47547.17130079258,207.57536686547883,-10.912083333333387,-0.021202186514903933,50.54253734455469,323.483543466287,47540.23042135624,343.44197676134036,0.056076388888885255,0.013690327638781483,50.32570115031293,0.0,0.0,0.0,47153.69
2021-02-13 00:00:00,47298.15,48150.0,46202.53,47153.69,63768.097399,3007710147.4181595,2058823,30996.309859,1462495399.9928117,1613167200000,47216.72394345238,47220.68268353175,47268.03845548115,0.40277777777777773,93.28873431040329,47217.003057343274,109.0146879654971,-6.283993055555534,-0.009373974963711026,49.040147549351396,121.58320652375829,47222.39659516461,136.9950716371917,-18.829930555555496,-0.033224602888333635,49.0890531623457,189.22139483112028,47264.84528349987,211.96743777681309,-113.27204861111098,-0.23366557975625435,48.934755380458824,15.552458333333334,23.961313226318435,8.400633587862755,48577.79
2021-02-14 00:00:00,47156.78,49707.43,47014.17,48577.79,73735.475533,3584808348.8347325,2090070,38752.156681,1884009921.0628607,1613253600000,48541.23452380952,48520.811106150795,48380.159786086304,0.7361111111111112,102.10527037474618,48540.874800688674,124.27936423357733,39.08416666666666,0.0699088405682029,53.27792041140962,137.7837146479552,48519.43625292182,168.4342746494663,82.5110763888889,0.16084989825061394,53.911240896579415,264.4601749874398,48381.76108248631,337.81605220514075,369.20649305555565,0.7690890010778934,54.34548088072065,44.679066666666664,60.742695689341524,25.06174850747247,47911.1
2021-02-15 00:00:00,48580.47,49010.92,45570.79,47911.1,79398.156784,3782219060.664722,2313155,38176.364661,1819251655.7814271,1613340000000,47828.020525793654,47835.64268849206,47882.39560205853,0.576388888888889,118.84726975652661,47827.878679854104,146.07452701545253,-16.064479166666636,-0.026210224235755145,51.25456661425239,163.18198318057333,47836.46898819654,199.98152712336977,-32.59680555555557,-0.05653370690295164,50.82984017801824,321.8289740541069,47877.63603784683,425.5160483802228,-97.83184027777791,-0.17936316479275174,49.60300249000304,64.9261125,81.72718810452665,36.7355671446609,49133.45
2021-02-16 00:00:00,47911.1,50689.18,47003.62,49133.45,88813.266298,4349983777.692368,2199849,45608.603838,2236524604.988356,1613426400000,48829.46360119048,48818.76309523809,48787.29282056051,0.5069444444444444,125.4027729066509,48830.32178980109,156.01539345072052,25.790243055555568,0.049709217367794045,51.76685138512775,173.29222497943547,48820.23870644571,211.1838894946966,44.847534722222264,0.09024628975755943,51.49743845345941,317.0946005057245,48790.982172907614,361.1217169385779,63.28305555555562,0.14172625528159322,51.102131550988645,0.0,0.0,0.0,52119.71
2021-02-17 00:00:00,49133.45,52618.74,48947.0,52119.71,85743.637818,4365831514.815298,2514374,45055.446241,2294099235.2800226,1613512800000,50878.458913690476,50840.55256200396,50586.54926463293,0.7881944444444445,123.20916740064847,50878.0690510548,147.0021606233472,74.66802083333329,0.12601770269146734,54.55534824927991,162.22422126747273,50839.44109741738,198.80040913211656,149.06677083333327,0.27578918054825446,55.231358409262704,330.3834444795319,50597.01966281058,431.4216258860961,681.7969791666667,1.3476820423467222,55.15912878872265,0.0,0.0,0.0,51552.6
2021-02-18 00:00:00,52117.67,52530.0,50901.9,51552.6,60758.046954,3149973077.487466,1891592,28893.358623,1498231635.843909,1613599200000,51897.17972718254,51904.2228422619,51928.87947048611,0.46527777777777773,92.23411524685645,51897.15965878343,108.3526795797838,-14.664305555555552,-0.022603836338027043,48.64866465784339,120.7569462254409,51903.02063569216,134.45573739894243,-24.60718749999998,-0.044105178985098636,48.733946235127064,173.093162720819,51916.109757535625,216.60352180048187,-62.91281249999997,-0.12073257129704806,49.976967189073015,15.3064625,25.92177237712134,9.227292488375822,55906.0
2021-02-19 00:00:00,51552.61,56368.0,50710.2,55906.0,79659.77802,4251167827.6842465,2339215,40556.020246,2164871310.2239413,1613685600000,53044.8124156746,52995.52190972222,52726.160242435515,0.7291666666666666,124.08795198052742,53045.13456386782,152.8072196259302,100.31673611111114,0.162279086488369,56.30728998934418,169.11653131914514,52997.07651940638,215.10284540330892,195.2862152777778,0.3427034627512849,56.32842779605175,361.0185234711816,52745.63252409307,481.5574413345771,696.2795486111112,1.2997032676322944,55.31641776208986,27.602295833333333,51.69283544963084,16.43616769917142,55841.19
2021-02-20 00:00:00,55906.0,57700.46,53863.93,55841.19,80948.205314,4551890859.8512745,2642846,38636.066274,2172833878.4409647,1613772000000,56242.51899305556,56242.60958829365,56202.15072854663,0.46875,142.03198754656606,56242.766295375215,170.51773976992305,0.04281249999998593,0.0024623800680561073,49.62111027067476,187.26802564005482,56241.670967057544,231.52167531358876,1.0206597222221585,0.0055311051688262565,50.13329027599966,358.288922126704,56170.58645796135,446.0093526044263,168.51256944444432,0.3005677315091207,52.40852384964888,0.0,0.0,0.0,57408.57
2021-02-21 00:00:00,55841.19,58352.8,55477.59,57408.57,58166.708511000004,3317998263.3478894,1950533,29506.089085,1683107088.1573696,1613858400000,56988.00790674603,56967.01031001984,56867.49687065972,0.6215277777777778,115.31114066646278,56987.65361177203,140.70424881317214,41.13170138888887,0.06243329560233992,52.71786234145329,156.96469971551466,56967.74401951019,192.251803885015,82.25520833333336,0.1377398257004353,52.931340684408376,316.31779176569916,56876.171830351086,361.45505868566994,255.43416666666675,0.4483926622361106,52.24861518872367,0.0,0.0,0.0,54087.67
2021-02-22 00:00:00,57412.35,57508.47,47622.0,54087.67,134019.434944,7213386720.436798,3313083,63677.661979,3427217154.5209727,1613944800000,54724.81644345238,54769.19603670635,55010.04380208333,0.3055555555555555,243.5719233410696,54725.47432047349,297.9259299747459,-84.77503472222223,-0.12120317482455588,46.627664598961665,330.3670255146113,54767.03427185365,400.2901659204797,-170.6124652777778,-0.27422871246767616,46.41062319173114,601.2802249587336,55031.281401995664,721.3296517646736,-696.4626041666667,-1.1801264028755611,45.80374137095263,19.159499999999998,40.77911025567796,12.914049922299922,48891.0
